dates,p
2011-10-25,0.0025599755605098867
2011-10-26,0.0025407843141492686
2011-10-27,0.0011615255844200881
2011-10-28,0.0009178181021996149
2011-10-31,0.002626472037096712
2011-11-01,0.0017662078277692478
2011-11-02,0.0023535860739437643
2011-11-03,0.0026421557887057216
2011-11-04,0.002639714854551746
2011-11-07,0.002629040967785316
2011-11-08,0.0021529269803508906
2011-11-09,0.0012765679600418131
2011-11-10,0.0023049122425142245
2011-11-11,0.002647136880511815
2011-11-14,0.0026105776037688745
2011-11-15,0.0026006283915067604
2011-11-16,0.0021016962193999475
2011-11-17,0.0018226155254166168
2011-11-18,0.0025149912893168845
2011-11-21,0.0023200219168264405
2011-11-22,0.002533132274523261
2011-11-23,0.0020357457553410977
2011-11-25,0.001911526111008202
2011-11-28,0.0025428723285376956
2011-11-29,0.0026729959710854656
2011-11-30,0.0021316199672311363
2011-12-01,0.0020462833250097243
2011-12-02,0.0021479579524816767
2011-12-05,0.0023083328918540144
2011-12-06,0.0024328482979795057
2011-12-07,0.0025802629261929655
2011-12-08,0.002637016517711008
2011-12-09,0.0019011282921754784
2011-12-12,0.001673808601905751
2011-12-13,0.0016479568337705885
2011-12-14,0.0020072267177341572
2011-12-15,0.001678967120141317
2011-12-16,0.0013979499205743191
2011-12-19,0.0017882955448966812
2011-12-20,0.001102447021304599
2011-12-21,0.0005279685406003536
2011-12-22,0.000544558312123838
2011-12-23,0.0005112885757966594
2011-12-27,0.001082067625439912
2011-12-28,0.001961447120788523
2011-12-29,0.0016353570380871923
2011-12-30,0.002082620650573374
2012-01-03,0.0019655085310135833
2012-01-04,0.0016901718200323312
2012-01-05,0.001419094095511768
2012-01-06,0.0011087990118738116
2012-01-09,0.0014517492033900175
2012-01-10,0.0013682809387793407
2012-01-11,0.0016724123762666022
2012-01-12,0.0014724277738074332
2012-01-13,0.0018181585691271177
2012-01-17,0.002473280614349873
2012-01-18,0.001968945457340112
2012-01-19,0.0015179861077835287
2012-01-20,0.0008070749460046661
2012-01-23,0.0011293744719215672
2012-01-24,0.0013891656918276459
2012-01-25,0.0011760671700114724
2012-01-26,0.0014517770747690564
2012-01-27,0.0015500762483770312
2012-01-30,0.002149725385427082
2012-01-31,0.0022499425723578564
2012-02-01,0.0018554481466276918
2012-02-02,0.0016238201271724366
2012-02-03,0.0012107292158778861
2012-02-06,0.0017471298565071296
2012-02-07,0.0017931250313014497
2012-02-08,0.002194468085546933
2012-02-09,0.002489852038112391
2012-02-10,0.002641407459495578
2012-02-13,0.0026802707232991617
2012-02-14,0.0027676080049405098
2012-02-15,0.0024434891456025522
2012-02-16,0.0027555904926104065
2012-02-17,0.0023221070919490602
2012-02-21,0.0025703270488037994
2012-02-22,0.0026151903511111023
2012-02-23,0.0019672628109837953
2012-02-24,0.0023650948597610712
2012-02-27,0.002736443863190267
2012-02-28,0.00271095435171242
2012-02-29,0.0027888973093484265
2012-03-01,0.0025434699528572393
2012-03-02,0.0026067096098667387
2012-03-05,0.0027934998190824027
2012-03-06,0.0017389645352335113
2012-03-07,0.0026236104942384685
2012-03-08,0.0027997592072655317
2012-03-09,0.0026585761046107534
2012-03-12,0.0018880583953656222
2012-03-13,0.0013781859818510715
2012-03-14,0.001904711950888212
2012-03-15,0.002099149838277504
2012-03-16,0.0014892532780487464
2012-03-19,0.0020652164367625206
2012-03-20,0.002506210332073738
2012-03-21,0.002313710250873901
2012-03-22,0.0026291158803590357
2012-03-23,0.0022696099203061925
2012-03-26,0.0019522709177183086
2012-03-27,0.0027786255006433196
2012-03-28,0.0027751715127902112
2012-03-29,0.0027997391079408658
2012-03-30,0.0028189369994895477
2012-04-02,0.0028341663811519593
2012-04-03,0.002832699628163078
2012-04-04,0.002598430470194556
2012-04-05,0.0024411950686946634
2012-04-09,0.0010739545943828828
2012-04-10,0.00043214792643491654
2012-04-11,0.0005865200661739001
2012-04-12,0.0022495657187212442
2012-04-13,0.0007977040187234846
2012-04-16,0.0008277268093079861
2012-04-17,0.001477683636882843
2012-04-18,0.0013737103713724879
2012-04-19,0.001570499741146698
2012-04-20,0.002199592713065606
2012-04-23,0.0011766782119730986
2012-04-24,0.0017637402219152208
2012-04-25,0.0025804545987225115
2012-04-26,0.0027965850763060256
2012-04-27,0.0027541331043614307
2012-04-30,0.0022928288725223185
2012-05-01,0.002602370157303488
2012-05-02,0.0024209421883185957
2012-05-03,0.0019363737534567427
2012-05-04,0.0008895085434108357
2012-05-07,0.001040241339752816
2012-05-08,0.0010027967815786855
2012-05-09,0.0005477012993976285
2012-05-10,0.0012139316148212832
2012-05-11,0.0006715025638328817
2012-05-14,0.00017087261110494437
2012-05-15,0.00018151125603576055
2012-05-16,0.0001646660362679089
2012-05-17,3.0016538905621342e-05
2012-05-18,2.342083351440132e-05
2012-05-21,0.00034689453995102084
2012-05-22,0.00027698540134156577
2012-05-23,0.0003422944529619073
2012-05-24,0.0006178436074106629
2012-05-25,0.0005759812678475706
2012-05-29,0.0009238962772462176
